song_id,track_id,artist_name,title,kmeans_cluster,agg_cluster,dbscan_cluster,is_popular
SODLSHA12AAF3B29F2,TRAAHVY128F92E25D6,Vince Guaraldi / Bola Sete,Choro,4,1,0,0
SOAGHMH12AB0180285,TRAAHXN128F9326097,Maurice Chevalier,Ma Louise,0,0,0,0
SORAVUP12AB018556E,TRAAHYV128F932A425,Carl Cox Vs Yousef,I Want You (Forever),2,0,0,1
SOFXNQP12AB0184F1A,TRAAHZP12903CA25F4,Organized Konfusion,Hate,4,1,0,1
SOGQTRZ12A8C13C8B0,TRAAIAE128F42AC53D,Martina McBride,I Can't Stop Loving You,2,2,0,1
SOBHVZQ12AC9618285,TRAAIAN12903CFF16D,Horace Andy,Thank You Lord,4,1,0,0
SOYPBCY12AB0181EF3,TRAAIAX128F930531B,Nazz,How Can You Call That Beautiful (Stewkey Vocal),2,5,0,0
SOWRLSY12AC4687694,TRAAIBB12903CECB35,Tyrone Davis,Cheatin' In The Next Room,4,0,0,0
SOOGQWR12A8C142505,TRAAIDY128F92CA454,Hot Tuna,Candy Man,1,5,0,0
SOJDYQY12AB0188C97,TRAAIFG12903CB0BCB,Richard Burton,I See The Boys Of Summer,0,0,0,0
SOBHQUF12AB018B03E,TRAAIGD12903CA2F3C,Rory Block,Three Is a Crowd,1,5,0,0
SOFRAZJ12A8C143CDB,TRAAIHL128F92E6DDA,Boyz II Men,On Bended Knee,5,2,0,0
SONNDHT12A8C13F20B,TRAAIIE128F4288BB1,Howard Armstrong,My Four Reasons,4,3,0,0
SOYZOXW12A8C13E195,TRAAIII128F427D5D8,Donny Hathaway,Little Girl (LP Version),2,0,0,1
SOSGJTX12AB0181F7C,TRAAILM128F93480BB,Miguel Gallardo,Eternamente Amame,2,5,0,0
SOBQBWP12AB018611B,TRAAINT128F933BBE0,Les Ogres De Barback,Niev nietch nievitch,1,1,0,0
SODULLV12AB017FA09,TRAAIRG128F93265E8,DJ X-Change featuring DJ Joey A,Come Over,4,1,0,0
SOYAGJM12A8C13DCCE,TRAAIXN128F428027A,Morel,Blue Taxi,2,5,0,0
SORXUZZ12A8AE4798A,TRAAIXU128F4241E5C,Tony Joe White,I Want Love (Tween You & Me) (Album Version),4,0,0,0
SOCHXAE12AF72A25D6,TRAAIYR12903CD290D,Wolfmother,White Feather,5,1,0,0
SOCRHCQ12A58A7C8C6,TRAAJAC128F148B530,The Roches,Christlike Roche,2,4,0,0
SOSEJIQ12AB017E7EB,TRAAJBU128F9326C02,Bob Margolin,You Rascal You,4,1,0,0
SOMXWXQ12AC3DFA002,TRAAJBU12903CE2831,Thomas Battenstein,Sympathy,0,3,0,0
SOGMXBW12A6D4FB8D7,TRAAJEK128F422F55A,Jupiter Rising,They Say (Album),2,2,0,0
SOOPUTF12AB018DFAA,TRAAJEK12903CE351A,Dharma Bums,Simon's Folly,1,5,0,0
SOFDTRZ12AB018DD11,TRAAJJA12903CC518A,Saafir,Crawl Before You Ball (Album Version),4,1,0,0
SOOGNJP12A8C1381AD,TRAAJJG128F4284B27,The Verve Pipe,Medicate Myself,5,2,0,1
SOFUBCP12A8C13D5EF,TRAAJJV128F42A2F99,Bob Neuwirth,Biding Her Time,2,0,0,1
SOVZBDR12A6702012E,TRAAJMH128E0785407,Marvin Sapp,More And More  (LP Version),5,2,0,0
SOPWKSS12AC468E659,TRAAJNM12903CF4750,James Hunter,Cowboy Ways,1,5,0,0
SOCCQIQ12A8C13C76B,TRAAJSX128F4275A1D,Nelson Ned,Brasas Vivas,1,5,0,0
SODBMZD12A8C134232,TRAAJVJ128F42570AD,Mish Mash,Kolomeyke,1,0,0,0
SOBUWPY12A8C1446C0,TRAAJXQ128F92E65BF,Cama,In This Life,1,5,0,0
SORWXUP12A58A79E65,TRAAJYX128F4255568,Maxi Priest,Groovin' In The Midnight,2,2,0,0
SOJEVZW12A8C133988,TRAAKAS128F4246013,Porcupine Tree,Waiting,5,2,0,1
SOOODKC12AB018462F,TRAAKAV128F931BE25,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),4,1,0,0
SODOLVO12B0B80B2F4,TRAAKDF128F92FA302,Foo Fighters,Hell,5,2,0,0
SOEHWGF12A6D4F8B2B,TRAAKDG128F42A0ECB,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),5,2,0,1
SOOZLTC12A6D4FBE91,TRAAKJJ128F4228346,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),4,1,0,0
SOOSYMY12AB01888CD,TRAAKNS12903CC5198,Robben Ford,I Got Over It (Album Version),4,5,0,1
SOPBKEB12A6D4FD777,TRAAKQS128F4224DE1,Brazilian Tropical Orchestra,One Less Bell To Answer,4,0,0,0
SOEWQYW12AB0183FDE,TRAAKSB128F934D73A,Gil Semedo,Festa,4,0,0,0
SOFBQIA12AB0182219,TRAAKTK128F9343DCC,Soda Stereo,Te Hacen Falta Vitaminas,4,1,0,0
SOHDDHR12AB0183552,TRAAKVA128F934E69E,Xmilk,Sense And Trick,4,1,0,0
SONWQQX12AC3DF6762,TRAAKVD12903CE8474,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),3,4,0,0
SOGXFIF12A58A78CC4,TRAAKVZ12903D074BB,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),5,0,0,0
SOIPNSZ12A8C144128,TRAAKXN128F92E71B1,Schizoid,Grim Prospects (Version 2 Remix),2,1,0,0
SOEXSIN12A8C133B0A,TRAALCM128F4264370,Toni Braxton Featuring Shaggy,Christmas In Jamaica,1,2,0,0
SOTSMNJ12AB018365E,TRAALDU128F930D56B,Perrey And Kingsley,Gossippo Perpetuo,1,5,0,1
SOLGRUN12A8C140543,TRAALEO128F42A7AEA,Sven Tasnadi,2190 Dias Contigo,3,4,0,0
SOQCHGV12AC4688FC6,TRAALHD12903D0BD6A,Eddie,No Control,2,0,0,0
SOXCWTT12AC9075756,TRAALNG12903D014E9,Enthroned,The Vitalized Shell,2,0,0,1
SOAFIPD12A8C13A261,TRAALRZ128F429024E,Suzanne Ciani,Mozart,1,0,0,1
SOMJPML12A8C13D74E,TRAALSV128F4282B9B,Milan Band,Ciao Milan,0,3,0,0
SOCVDYI12AC4687DDB,TRAALUX12903CFD50B,Johnny Osbourne,Lend Me Your Chopper,1,5,0,0
SOEVGMZ12A8C1421B5,TRAALZC128F92E11A6,Dolly Parton,Letter To Heaven,4,2,0,0
SOCGURJ12AB0182AEE,TRAALZN128F932D457,Rance Allen Group,Heaven is Where The Heart Is,1,5,0,0
SOHTWLT12A8C13CFE1,TRAAMES128F42AF068,Pearl Jam,Inside Job,5,2,0,1
SOVQZYP12A8C144692,TRAAMFG128F92FDEA2,Natalie Cole,Take A Look  (LP Version),4,1,0,0
SOHHANU12A58A77C66,TRAAMFT128F93128AD,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),3,2,0,1
SOTHWPG12AB018C90E,TRAAMGJ12903CD315C,Kiril Valeri,Bulgarian Dream,4,1,0,0
SOOQHNV12AB0186CD4,TRAAMII128F933B583,Word,Amalgama,1,2,0,0
SOSGXRU12AAF3B2B07,TRAAMJY128F92F5919,DJ Quik,Born and Raised In Compton,4,2,0,0
SOFRUDU12A8C13A40C,TRAAMKI128F428537A,Hank Locklin,We're Gonna Go Fishin',1,5,0,1
SONXLQQ12AB0184B54,TRAAMKL128F9347D8A,BT,Robbers Kill Cop,4,2,0,0
SOKPHVH12AB0187460,TRAAMKP12903CC74F4,2-4 Grooves feat. Reki D.,Relax,2,2,0,0
SOIUGDX12A6D4FDECA,TRAAMKW128F4249CF0,The Jordanaires,Sweet By And By,0,1,0,0
SOAYYDM12AB01817E6,TRAAMPA128F92E7D0D,Descendents,Orgofart,4,0,0,1
SORAJXA12A58A7A4C9,TRAAMSO128EF348DCC,L.A. Guns,Bitch Is Back,2,2,0,0
SODJUNF12A8C13337F,TRAAMXP128F4264F6A,Bare Jr.,Naked Albino,2,0,0,0
SOVDDWO12A6D4F9A78,TRAAMYQ128F148B753,Shelley Fabares,Johnny Loves Me (LP Version),0,3,0,0
SOFGQAP12AB0185946,TRAAMZB12903CAB002,Norrie Paramor,Dearly Beloved,0,0,0,0
SORGLCR12AB0184B69,TRAAMZR128F9315DCC,Gary Hobbs,The Look Of Love,1,5,0,0
SOLBIIE12AB0184DFC,TRAANBH128F9345A6C,Diesel Boy,Cooler Than You,1,5,0,1
SORHOEV12A81C20F71,TRAANKK128F42531BC,Angelo Badalamenti,Taryns Deepest Fear,2,0,0,1
SOFPYXC12A58A7A4B9,TRAANLO128F422AE37,Cradle Of Filth,Summer Dying Fast,5,2,0,0
SOFQGCQ12AB0183609,TRAANLZ128F934EC42,Jim Chappell,Still,2,0,0,0
SOEBDBO12AC4688712,TRAANMF12903CEAFEF,Ladybug,Snapshot,4,1,0,0
SONIQSB12AB0189829,TRAANRI12903CD0A9C,Bandido,End Of The Road (Head Hornys Remix),1,1,0,0
SOYNEII12AB0181DB6,TRAANTD128F9323B23,Brixx,7 Miles,0,3,0,0
SOKIGWD12A6701DE9D,TRAANTZ128E0792529,Nine Inch Nails,The Frail,5,2,0,0
SOHXKAN12AC46872F1,TRAAODT12903D0D16E,Susana Seivane,Para Milladoiro,2,4,0,0
SOQZHMH12A8C13A393,TRAAOEH128F426A82F,Leland Martin,Stone Cold Fingers (Bonus Track),1,5,0,0
SOLEYPL12A6D4F83CE,TRAAOIN128F9303790,Test Icicles,Snowball,4,1,0,1
SOZFCNC12A6D4F76F3,TRAAOJI128F1458DCD,Heaven 17,(We Don't Need This) Fascist Groove Thang,1,5,0,0
SOPUQFS12A8C13DE1E,TRAAOPW128F428AE31,React,Drunk Alone,1,5,0,0
SOPNRDT12AB018A2D8,TRAAORY128F934984F,Sven Tasnadi,Charisma,3,4,0,0
SOGTLVU12A8AE47D5D,TRAAOTD128F42322FC,Mance Lipscomb,Going Down Slow,0,0,0,0
SOXNMDZ12A6D4FA20D,TRAAOTT128F14AE002,Scott Wesley Brown,All Rise,2,0,0,0
SOGOJBW12AB018513B,TRAAOTT128F9342E04,Flávio José,Jogo Limpo,1,1,0,0
SONNOCP12A8C145220,TRAAOXM12903CFB3B0,Moss,Silent Hill,4,1,0,1
SOUDHTP12AB0183403,TRAAOYG128F9314996,Pery Ribeiro,Our Love Is Here To Stay,4,1,0,0
SOWDEPU12A8C137B14,TRAAPCC128F42519A7,Soular,Everything Changes,2,0,0,0
SOJBYGW12A8C13A497,TRAAPFQ128F42684DB,Dimmu Borgir,Master Of Disharmony,5,2,0,0
SOQDTQP12A6D4F793F,TRAAPGF128F1458F8B,Public Image Ltd,(This Is Not A) Love Song (Live),1,1,0,0
SOJHKYL12A6D4FA0AC,TRAAPIV128F1493132,Gary Moore,What Are We Here For,4,1,0,1
SOJVWBA12AB018C326,TRAAPLS12903CB2D40,Pascal Sangla,Une petite pause,0,3,0,0
SONRSQW12A6D4F6D1C,TRAAPPQ128F14961F5,The B-52's,Wig,5,2,0,1
SONTBYD12A58A77A29,TRAAPQQ128F427C750,Dakis,Perasmena Mesanihta,0,3,0,0
SOMKMPB12A8C1447D0,TRAAPSQ12903CAE86A,Sex Pistols,God Save the Queen (Live),5,2,0,1
SOSGQPS12A8AE48538,TRAAPVV128F425D64C,Chris Brown,Forever,5,2,0,0
SOKENJQ12AB017EC8C,TRAAPWD128F931ACD4,Deekline & Wizard,Sun Is Shining,0,3,0,0
SOBNTXB12A8C1428BA,TRAAPXK128F934DF25,Daniela Dessì,New Age,0,3,0,0
SOIKIJC12AC3DFB3D2,TRAAQBF12903CF796B,Hem,Have Yourself A Merry Little Christmas,2,5,0,0
SOFJNQR12A6D4FAE92,TRAAQCK128F92E8C33,Lily Allen,U Killed It,5,2,0,1
SOGDFIT12AB018528B,TRAAQDJ128F92F95E0,Pentangle,Rain And Snow,1,5,0,0
SOOIZTH12AB018C12E,TRAAQDL12903CA8FB5,DJ Dips,Gerra De De,2,0,0,0
SOQPJUL12AB0189379,TRAAQEV12903CB5459,Ana Bekuta,Kako mi je pitas sad,1,5,0,0
SOMBQEO12A8C135018,TRAAQFC128F425ED83,Jason Miles,Voices On The Corner,4,1,0,0
SOCQWKZ12A8C13CE4C,TRAAQIH128F428BDEA,Busdriver,(Bloody Paw On The) Kill Floor,4,0,0,1
SONETAN12A58A7ACEB,TRAAQLE128F424AE71,Byther Smith,I Wish My Mother Was Here,2,0,0,1
SOKEXTF12A8C13AE7E,TRAAQLJ128F428E870,Bebo & Cigala,Inolvidable,1,0,0,1
SOUJISW12CF4E09416,TRAAQOH128F4265CE6,Bizarre Inc,Miracle,2,4,0,0
SOJKDKH12A58A761A2,TRAAQPS128F429161D,Bongzilla,Witch Weed (Live),1,5,0,1
SOTWWBZ12AB01845E0,TRAAQUC128F9322A82,The Gone Jackals,Not Buried Deep Enough,2,0,0,1
SOKZTUH12AB018B938,TRAAQUF12903CDF4A4,The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around),2,0,0,0
SOQDTZG12A8C1442E3,TRAAQWF128F92D1AAD,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth,4,0,0,0
SOIFOLA12AB017CDA1,TRAAQYN128F92ED77E,S.U.P,The Cube (Live),1,5,0,0
SOKHVZO12AB0184C4D,TRAAQYU12903CE68CE,Boogie Pimps,Get Back Down,2,0,0,0
SOMISOP12AC468D9D5,TRAAQZF12903CEDCB8,Brian Keane,Battle Of The Rosebud / Cries,4,0,0,0
SOOZKNQ12A6D4F6FD4,TRAAQZQ128EF35C51A,Aberdeen,Beyond the Light,2,0,0,0
SOGOQGE12AB0182907,TRAARHS128F931689D,The Killers,Spaceman,5,2,0,0
SOWTIDJ12AB018808C,TRAARRG12903CDB456,Gloriana,Pulecenella 'e mò,5,0,0,0
SONIHLC12AB0187B0C,TRAARSF12903CD1B12,Butterfly Temple,Iskorosten' (instr.),4,1,0,0
SOLBHCO12AB018769A,TRAARUN128F932B1A0,Grant Geissman,Big Stax/High Volts (Album Version),2,0,0,0
SOVZVPT12AB018A59E,TRAASDM12903CD474E,20/20,It Goes On,2,0,0,0
SOZWDHS12AB0188A33,TRAASEO128F9337C48,José Augusto,Pecado De Amor,4,1,0,0
SOFSKON12A8C13B3B5,TRAASFP128F42980BD,Orbital,Illuminate,5,2,0,1
SOBOCAG12A6BD55D56,TRAASGM128EF34DBB0,Bone Thugs-N-Harmony / Akon,Never Forget Me,5,2,0,1
SONCYFS12A8C14261E,TRAASIG128F92C3A6B,Moonsorrow,Ukkosenjumalan poika,1,5,0,0
SOTNBNN12A6D4F6CC7,TRAASKO128F427CE1C,N.W.A.,A B***** Is A B***** (Edited),5,2,0,0
SOXZLDX12A58A7CE52,TRAASKQ128F4265E04,Rage Against The Machine,Kick Out The Jams,5,2,0,0
SOEESQT12A8C13C7D5,TRAASOD128F428154C,Jazz Gillum,Me And My Buddy,4,1,0,0
SOSKUNI12AB0187F12,TRAASQC128F93480F0,Rise Against,Amber Changing,5,2,0,1
SOSLFMU12AB018FFEA,TRAASSO12903CDD2FF,Ultraviolence,Murder Academy,1,0,0,0
SOOKISK12AB0180667,TRAASUZ128F9314950,Korn,Hey Daddy,5,2,0,0
SOVGBEK12A8C134E04,TRAASYO128F4263883,Sir Neville Marriner,4 Sea Interludes Op. 33a: Storm,0,5,0,0
SORJOMF12AB0186F78,TRAASZE128F93499AE,Agnes,I Need You Now,2,2,0,0
SOVTGXQ12A6D4FB9CA,TRAATBN128F14ACE82,James Horner,Atmosphere Station,4,0,0,1
SOLKTEK12AB018BE1A,TRAATGM12903C9CD7C,Tantric,Walk Away,2,2,0,1
SODYZIU12A8C13FBD9,TRAATIU128F4291A84,Mastodon,Shadows That Move,5,2,0,1
SOJRCDU12AB0189D27,TRAATJK128F9339179,Xcultures,Smile,4,1,0,0
SOBMHTY12AC9097B7C,TRAATLC12903D0172B,The Irish Tenors,Mountains Of Mourne,4,0,0,0
SOZWHVZ12A6D4F90E7,TRAATMY128F149562F,U2,Kite Live from Sydney,5,2,0,0
SOQAHUW12AB0181F04,TRAATMY128F9334DAC,Little Joe,Loco (Crazy),2,0,0,0
